new_area_code,original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
509,206,FALSE,West Richland,Washington,benton,53,5,NA,NA,NA,51370,1224,6964,1712,1526,308,18
208,208,TRUE,Lewiston,Idaho,nez perce,16,69,NA,NA,NA,22658,2838,2604,2103,632,793,20
509,206,FALSE,Walla Walla,Washington,walla walla,53,71,NA,NA,NA,40135,5439,4062,3698,790,562,18
406,406,TRUE,Billings,Montana,yellowstone,30,111,113,montana,yellowstone nat.,55875,6208,6767,3892,2034,447,20
207,207,TRUE,Bangor,Maine,penobscot,23,19,NA,NA,NA,108198,11479,12120,10367,3558,649,19
360,206,FALSE,Longview,Washington,cowlitz,53,15,NA,NA,NA,53369,4798,6723,3272,1366,213,18
406,406,TRUE,Bozeman,Montana,gallatin,30,31,NA,NA,NA,21902,2418,2491,1751,664,44,20
406,406,TRUE,Butte,Montana,silver bow,30,93,NA,NA,NA,48422,7169,4786,4418,1066,291,20
360,206,FALSE,Vancouver,Washington,clark,53,11,NA,NA,NA,85307,6129,10251,6755,2042,1024,18
605,605,TRUE,Aberdeen,South Dakota,brown,46,13,NA,NA,NA,32617,4481,3804,2500,882,65,21
503,503,TRUE,Aloha,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
503,503,TRUE,Beaverton,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
503,503,TRUE,Hillsboro,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
503,503,TRUE,Tigard,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
503,503,TRUE,Tualatin,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
971,503,FALSE,Aloha,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
971,503,FALSE,Beaverton,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
971,503,FALSE,Hillsboro,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
971,503,FALSE,Tigard,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
971,503,FALSE,Tualatin,Oregon,washington,41,67,NA,NA,NA,61269,2564,6802,5459,2042,184,18
320,218,FALSE,Saint Cloud,Minnesota,stearns,27,145,NA,NA,NA,70681,8565,8594,5105,2384,71,11
458,503,FALSE,Gresham,Oregon,multnomah,41,51,NA,NA,NA,471537,79807,46623,48539,10948,14146,18
503,503,TRUE,Gresham,Oregon,multnomah,41,51,NA,NA,NA,471537,79807,46623,48539,10948,14146,18
503,503,TRUE,Portland,Oregon,multnomah,41,51,NA,NA,NA,471537,79807,46623,48539,10948,14146,18
541,503,FALSE,Gresham,Oregon,multnomah,41,51,NA,NA,NA,471537,79807,46623,48539,10948,14146,18
971,503,FALSE,Gresham,Oregon,multnomah,41,51,NA,NA,NA,471537,79807,46623,48539,10948,14146,18
971,503,FALSE,Portland,Oregon,multnomah,41,51,NA,NA,NA,471537,79807,46623,48539,10948,14146,18
503,503,TRUE,Lake Oswego,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
503,503,TRUE,Milwaukie,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
503,503,TRUE,Oregon City,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
503,503,TRUE,West Linn,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
971,503,FALSE,Lake Oswego,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
971,503,FALSE,Milwaukie,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
971,503,FALSE,Oregon City,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
971,503,FALSE,West Linn,Oregon,clackamas,41,5,NA,NA,NA,86716,7635,9567,7758,2294,434,18
503,503,TRUE,McMinnville,Oregon,yamhill,41,71,NA,NA,NA,33484,2360,3541,3405,618,201,18
971,503,FALSE,McMinnville,Oregon,yamhill,41,71,NA,NA,NA,33484,2360,3541,3405,618,201,18
763,612,FALSE,Blaine,Minnesota,anoka,27,3,NA,NA,NA,35579,1799,5123,2447,3184,107,9
763,612,FALSE,Fridley,Minnesota,anoka,27,3,NA,NA,NA,35579,1799,5123,2447,3184,107,9
651,612,FALSE,Cottage Grove,Minnesota,washington,27,163,NA,NA,NA,34544,4444,4315,2953,1650,104,9
651,612,FALSE,Oakdale,Minnesota,washington,27,163,NA,NA,NA,34544,4444,4315,2953,1650,104,9
651,612,FALSE,Woodbury,Minnesota,washington,27,163,NA,NA,NA,34544,4444,4315,2953,1650,104,9
503,503,TRUE,Keizer,Oregon,marion,41,47,NA,NA,NA,101401,9413,10070,9949,2424,1115,18
503,503,TRUE,Salem,Oregon,marion,41,47,NA,NA,NA,101401,9413,10070,9949,2424,1115,18
503,503,TRUE,Woodburn,Oregon,marion,41,47,NA,NA,NA,101401,9413,10070,9949,2424,1115,18
971,503,FALSE,Keizer,Oregon,marion,41,47,NA,NA,NA,101401,9413,10070,9949,2424,1115,18
971,503,FALSE,Salem,Oregon,marion,41,47,NA,NA,NA,101401,9413,10070,9949,2424,1115,18
971,503,FALSE,Woodburn,Oregon,marion,41,47,NA,NA,NA,101401,9413,10070,9949,2424,1115,18
612,612,TRUE,Crystal,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
612,612,TRUE,Golden Valley,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
612,612,TRUE,Minneapolis,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
612,612,TRUE,Richfield,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
612,612,TRUE,Saint Louis Park,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,Brooklyn Center,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,Brooklyn Park,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,Champlin,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,West Coon Rapids,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,Maple Grove,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,New Hope,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
763,612,FALSE,Plymouth,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
952,612,FALSE,Bloomington,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
952,612,FALSE,Eden Prairie,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
952,612,FALSE,Edina,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
952,612,FALSE,Minnetonka,Minnesota,hennepin,27,53,NA,NA,NA,676579,130428,71186,58649,21768,8796,9
605,605,TRUE,Watertown,South Dakota,codington,46,29,NA,NA,NA,18944,2338,2421,1628,456,38,21
651,612,FALSE,Maplewood,Minnesota,ramsey,27,123,NA,NA,NA,355332,73427,39249,29696,11826,6396,9
651,612,FALSE,New Brighton,Minnesota,ramsey,27,123,NA,NA,NA,355332,73427,39249,29696,11826,6396,9
651,612,FALSE,Roseville,Minnesota,ramsey,27,123,NA,NA,NA,355332,73427,39249,29696,11826,6396,9
651,612,FALSE,Shoreview,Minnesota,ramsey,27,123,NA,NA,NA,355332,73427,39249,29696,11826,6396,9
651,612,FALSE,Saint Paul,Minnesota,ramsey,27,123,NA,NA,NA,355332,73427,39249,29696,11826,6396,9
651,612,FALSE,White Bear Lake,Minnesota,ramsey,27,123,NA,NA,NA,355332,73427,39249,29696,11826,6396,9
715,715,TRUE,Wausau,Wisconsin,marathon,55,73,NA,NA,NA,80337,6783,9319,6234,2246,80,13
307,307,TRUE,Gillette,Wyoming,campbell,56,5,NA,NA,NA,4839,271,575,363,178,5,20
952,612,FALSE,Chanhassen,Minnesota,carver,27,19,NA,NA,NA,18155,2427,2000,1735,544,0,9
651,612,FALSE,Apple Valley,Minnesota,dakota,27,37,NA,NA,NA,49019,2237,6150,3416,2342,49,9
651,612,FALSE,Eagan,Minnesota,dakota,27,37,NA,NA,NA,49019,2237,6150,3416,2342,49,9
651,612,FALSE,Inver Grove Heights,Minnesota,dakota,27,37,NA,NA,NA,49019,2237,6150,3416,2342,49,9
651,612,FALSE,Lakeville,Minnesota,dakota,27,37,NA,NA,NA,49019,2237,6150,3416,2342,49,9
651,612,FALSE,South Saint Paul,Minnesota,dakota,27,37,NA,NA,NA,49019,2237,6150,3416,2342,49,9
952,612,FALSE,Burnsville,Minnesota,dakota,27,37,NA,NA,NA,49019,2237,6150,3416,2342,49,9
715,715,TRUE,Eau Claire,Wisconsin,eau claire,55,35,NA,NA,NA,54187,8351,6200,4587,1292,54,13
952,612,FALSE,Savage,Minnesota,scott,27,139,NA,NA,NA,16486,1526,1970,1446,712,16,9
952,612,FALSE,Shakopee,Minnesota,scott,27,139,NA,NA,NA,16486,1526,1970,1446,712,16,9
458,503,FALSE,Albany,Oregon,linn,41,43,NA,NA,NA,54317,3481,6721,3932,1378,109,18
541,503,FALSE,Albany,Oregon,linn,41,43,NA,NA,NA,54317,3481,6721,3932,1378,109,18
802,802,TRUE,South Burlington,Vermont,chittenden,50,7,NA,NA,NA,62570,7535,7374,5184,2080,125,20
458,503,FALSE,Corvallis,Oregon,benton,41,3,NA,NA,NA,31570,2544,3527,2080,948,158,18
541,503,FALSE,Corvallis,Oregon,benton,41,3,NA,NA,NA,31570,2544,3527,2080,948,158,18
207,207,TRUE,Augusta,Maine,kennebec,23,11,NA,NA,NA,83881,11093,8749,8670,1986,168,19
715,715,TRUE,Stevens Point,Wisconsin,portage,55,97,NA,NA,NA,34858,3301,3832,3110,904,35,13
920,414,FALSE,De Pere,Wisconsin,brown,55,9,NA,NA,NA,98314,13194,11992,7457,3692,983,9
920,414,FALSE,Green Bay,Wisconsin,brown,55,9,NA,NA,NA,98314,13194,11992,7457,3692,983,9
920,414,FALSE,Appleton,Wisconsin,outagamie,55,87,NA,NA,NA,81722,11049,10153,6310,3220,981,9
605,605,TRUE,Pierre,South Dakota,hughes,46,65,NA,NA,NA,8111,957,963,639,378,641,21
507,612,FALSE,Faribault,Minnesota,rice,27,131,NA,NA,NA,36235,4559,3383,3342,810,72,9
605,605,TRUE,Rapid City,South Dakota,pennington,46,103,NA,NA,NA,34053,3313,4526,2307,2168,1090,21
802,802,TRUE,Montpelier,Vermont,washington,50,23,NA,NA,NA,42870,5785,4435,4279,970,86,20
507,612,FALSE,New Ulm,Minnesota,brown,27,15,NA,NA,NA,25895,4839,2877,2613,684,0,9
207,207,TRUE,Auburn,Maine,androscoggin,23,1,NA,NA,NA,83594,10778,8918,7789,1962,84,19
207,207,TRUE,Lewiston,Maine,androscoggin,23,1,NA,NA,NA,83594,10778,8918,7789,1962,84,19
507,612,FALSE,North Mankato,Minnesota,nicollet,27,103,NA,NA,NA,20929,1525,2149,2104,494,63,9
315,315,TRUE,Watertown,New York,jefferson,36,45,NA,NA,NA,85521,12346,9219,10132,2166,171,9
920,414,FALSE,Manitowoc,Wisconsin,manitowoc,55,71,NA,NA,NA,67159,10153,7522,5847,1776,67,9
458,503,FALSE,Springfield,Oregon,lane,41,39,NA,NA,NA,125776,8664,14506,8487,3948,503,18
541,503,FALSE,Springfield,Oregon,lane,41,39,NA,NA,NA,125776,8664,14506,8487,3948,503,18
920,414,FALSE,Neenah,Wisconsin,winnebago,55,139,NA,NA,NA,91103,14613,9740,8693,2628,91,9
920,414,FALSE,Oshkosh,Wisconsin,winnebago,55,139,NA,NA,NA,91103,14613,9740,8693,2628,91,9
507,612,FALSE,Owatonna,Minnesota,steele,27,147,NA,NA,NA,21155,3134,2217,2030,626,21,9
507,612,FALSE,Rochester,Minnesota,olmsted,27,109,NA,NA,NA,48228,7086,5491,4408,1970,96,9
507,612,FALSE,Winona,Minnesota,winona,27,169,NA,NA,NA,39841,5499,4141,4025,946,40,9
207,207,TRUE,Brunswick,Maine,cumberland,23,5,NA,NA,NA,169201,27308,17085,17670,4274,508,19
207,207,TRUE,South Portland,Maine,cumberland,23,5,NA,NA,NA,169201,27308,17085,17670,4274,508,19
608,715,FALSE,North La Crosse,Wisconsin,la crosse,55,63,NA,NA,NA,67587,10557,7467,5990,1602,203,13
989,517,FALSE,Bay City,Michigan,bay,26,17,NA,NA,NA,88461,9896,10433,7041,2898,354,13
458,503,FALSE,Roseburg North,Oregon,douglas,41,19,NA,NA,NA,54549,2490,6483,3398,1674,218,18
541,503,FALSE,Roseburg North,Oregon,douglas,41,19,NA,NA,NA,54549,2490,6483,3398,1674,218,18
920,414,FALSE,North Fond du Lac,Wisconsin,fond du lac,55,39,NA,NA,NA,67829,10932,7340,7313,1814,68,9
